Name,Description,Latitude,Longitude,Leader,Crew Size,Alternate Names,reference
Troy,An ancient city of northwest Anatolia with occupation ranging from the Bronze Age to the Roman period,39.95743808,26.23851562,	Priam,	N/A,,"Iliad Book 2, line 820"
Pylos,"A Classical settlement, probably the Pylos of Thucydides, on the Koryphasion promontory, (modern Akr. Koryphasiou in Messenia) in the Peloponnese",36.9520305,21.659888,Nestor,	90 ships,,"Iliad Book 2, line 591"
Bœotia,A region of central Greece inhabited since prehistoric times.,38.31689717,23.13491914,Arcesilaus,	50 ships,,"Iliad Book 2, line 495"
Aulis ,"a Greek port town, located in ancient Boeotia in central Greece,",38.4302595,23.5936545,"Thersander, then by Peneleōs, Leïtus, Arcesilaus, Prothoënor and Clonius",50 of 120 men each,,
Hyrie,"An island in the Ionian Sea, before being renamed Zakynthos, the island was said to have been called Hyrie",37.778006,20.7804438,,,,
Peteon,An ancient place,38.443961,23.412119,"Thersander, then by Peneleōs, Leïtus, Arcesilaus, Prothoënor and Clonius",50 of 120 men each,,
Heleon,An ancient place,38.3683025,23.470131,,,,
Hylè,An ancient place,38.450114,23.320012,,,,
Medeon,"Medeon was a polis of ancient Greece with occupation stretching from the Archaic period to Late Antiquity. It is located southeast of Aspra Spitia, Viotia, Central Greece",38.36658897,22.68388276,"Thersander, then by Peneleōs, Leïtus, Arcesilaus, Prothoënor and Clonius",50 of 120 men each,,
Haliartus,"Haliartos was an ancient city of Boeotia, founded as a contemporary of Orchomenos. The city was destroyed by C. Lucretius during the Third Macedonian War. There is a modern Greek town adjacent to the site, which now carries the ancient name.",38.37832291,23.0866042,"Thersander, then by Peneleōs, Leïtus, Arcesilaus, Prothoënor and Clonius",50 of 120 men each,,
Corinth,"The Corinth Canal cuts across the Isthmus of Corinth, connecting the Gulf of Corinth to the Saronic Gulf and the Aegean Sea. Several abortive attempts in antiquity were made at creating the canal, although its final (and functional) realization occurred in modernity.",37.93412356,22.98469426,,,,
Thespia,"Thespiai was an ancient city of Boeotia, located at the foot of Mt. Helicon.",38.29452615,23.15236318,,,,
Onchestus,Onchestos was located northwest of Thebes and was the site of an ancient cult of Poseidon. Prior to the Macedonian period the Boeotian confederacy met here.,38.373269,23.150267,"Thersander, then by Peneleōs, Leïtus, Arcesilaus, Prothoënor and Clonius",50 of 120 men each,,
Thisbè,Thisbe was an ancient town of Boeotia located on the southern flank of Mt. Helicon.,38.26088667,22.967793,,,,
Platea,An island in the Aegean Sea that is mentioned by Pliny the Elder. It is probably to be identified with the modern Kamilonísi.,35.8634532,26.2322965,,,,
Nysa," the mountainous district of Nysa, variously associated with Ethiopia, Libya, Boeotia, Thrace, India, or Arabia by Greek mythographers, was the traditional place where the rain nymphs, the Hyades, raised the infant god Dionysus, the ""God of Nysa.""",37.05955994,25.47943538,,,,
Eutresis,"An ancient settlement in Boeotia. The site, which is located near modern Leuctra, has been known in modern times as Arkophodi.",38.268249,23.20466,"Thersander, then by Peneleōs, Leïtus, Arcesilaus, Prothoënor and Cloniu",50 of 120 men each,,
 Coronè,"Also can be called Koroni, a fort and associated settlement on the Koroneia peninsula on the east coast of Attica.",37.87170542,24.04113111,,,,
Anthedon,A port city of northern Boeotia located in the foothills of Mount Messapion on the Gulf of Euboea.,38.497693,23.451655,"Thersander, then by Peneleōs, Leïtus, Arcesilaus, Prothoënor and Cloniu",50 of 120 men each,,
Aspledon,An ancient town in Boeotia that was mentioned by Homer in the Iliad.,38.540995,22.992716,"Ascalaphus, Ialmenus",30 ships,,
Orchomenian (Orchomenus),"/Orchomenos, The so-called ""Arcadian Orchomenos"", located near a modern village in the Peloponnese that, until the 1960s, was known as Kalpak",37.724716,22.31536,"Ascalaphus, Ialmenus",30 ships,,
